"Policy_ID","Account_Name","Occupancy_Type","Construction_Type","Protection_Class","Sprinklered","Building_Age_Years","TIV_Band","Account_Significance","Wind_Hail_Exposure","Flood_Zone","Region","Transaction_Type","Underwriter","Underwriting_Assistant","Submission_Date","Target_Issuance_Date","Actual_Issuance_Date","Policy_Status","Days_Outstanding","Aging_Bucket","Outstanding_Item","Next_Action_Owner","Recommended_Next_Action","Renewal_Date","Attention_Score","Priority","Score_Driver"
"CPU-210079","Northgate Holdings","Warehouse & Distribution","Masonry Non-Combustible","8","Yes","46","$1M-$5M","Standard","Low","Zone X - Minimal","West","Renewal","R. Okafor","A. Lindqvist","2026-08-12","2026-09-12","","Bound - Pending Issuance","5","0-5 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2026-09-20","35","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
"CPU-210080","Crestline Realty Partners","Warehouse & Distribution","Fire-Resistive","7","Partial","64","$50M-$100M","Significant","Low","Zone X - Minimal","West","Renewal","R. Okafor","C. Feldman","2026-07-28","2026-09-03","","On Hold - Missing Information","20","16-30 days","Loss control inspection pending","Loss Control/Inspector","Follow up with loss control on inspection scheduling","2026-08-17","57","Medium","Hard blocker: Loss control inspection pending"
"CPU-210081","Northgate Retail Center","Restaurant/Hospitality","Fire-Resistive","7","Yes","34","$50M-$100M","Significant","Low","Zone A - Moderate","Midwest","Renewal","J. Alvarez","A. Lindqvist","2026-07-13","2026-08-24","2026-08-16","Issued","34","30+ days","None","None","None - closed","2026-08-09","0","N/A","Closed"
"CPU-210082","Timberline Fabrication","Self-Storage","Frame","6","Yes","60","$5M-$10M","Standard","Low","Zone X - Minimal","West","Endorsement","T. Novak","B. Ruiz","2026-08-15","2026-09-17","","In Underwriting Review","2","0-5 days","None","Underwriter","Complete risk assessment and pricing","2027-08-15","15","Low","Next action sits with the underwriter"
"CPU-210083","Meridian Distribution Group","Manufacturing/Industrial","Joisted Masonry","5","No","49","$10M-$25M","Standard","Low","Zone A - Moderate","Northeast","Renewal","M. Chen","N. Osei","2026-07-08","2026-08-17","2026-08-16","Issued","39","30+ days","None","None","None - closed","2026-09-11","0","N/A","Closed"
"CPU-210084","Lakeshore Packaging Co.","Warehouse & Distribution","Frame","5","Yes","11","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","Renewal","L. Marquez","C. Feldman","2026-07-17","2026-08-22","2026-08-16","Issued","30","16-30 days","None","None","None - closed","2026-08-07","0","N/A","Closed"
"CPU-210085","Meridian Plastics Inc.","Manufacturing/Industrial","Masonry Non-Combustible","3","No","66","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","New Business","S. Patel","N. Osei","2026-08-09","2026-09-14","2026-08-16","Issued","7","6-10 days","None","None","None - closed","2027-08-09","0","N/A","Closed"
"CPU-210086","Grandview Cold Storage","Self-Storage","Non-Combustible","10","Yes","12","$10M-$25M","Standard","Low","Zone X - Minimal","Northeast","Renewal","T. Novak","N. Osei","2026-08-05","2026-08-25","","Quoted - Awaiting Response","12","11-15 days","None","Broker/Agent","Follow up with broker on quote decision","2026-09-17","37","Medium","Target issuance date approaching"
"CPU-210087","Brightwater Retail Center","Restaurant/Hospitality","Non-Combustible","1","Yes","1","$5M-$10M","Standard","Low","Zone X - Minimal","West","Renewal","R. Okafor","H. Buckley","2026-07-25","2026-08-22","","In Underwriting Review","23","16-30 days","None","Underwriter","Complete risk assessment and pricing","2026-10-09","59","Medium","Target issuance date due within 5 days"
"CPU-210088","Ironwood Industries","Warehouse & Distribution","Frame","5","No","11","$25M-$50M","Notable","Low","Zone X - Minimal","Midwest","Renewal","T. Novak","A. Lindqvist","2026-08-01","2026-08-15","","In Underwriting Review","16","16-30 days","None","Underwriter","Complete risk assessment and pricing","2026-09-16","67","High","Overdue vs. target issuance date"
"CPU-210089","Crestline Retail Center","Habitational (Multifamily)","Frame","9","Yes","3","$5M-$10M","Standard","Low","Zone X - Minimal","Northeast","Renewal","R. Okafor","B. Ruiz","2026-07-23","2026-09-03","","Issuance In Progress","25","16-30 days","Elevation certificate needed (flood zone)","Broker/Agent","Request elevation certificate from insured/broker","2026-10-09","57","Medium","Hard blocker: Elevation certificate needed (flood zone)"
"CPU-210090","Timberline Packaging Co.","Restaurant/Hospitality","Masonry Non-Combustible","3","No","27","$10M-$25M","Standard","Low","Zone X - Minimal","Northeast","Renewal","T. Novak","P. Trang","2026-07-08","2026-07-31","2026-08-03","Issued","26","16-30 days","None","None","None - closed","2026-09-02","0","N/A","Closed"
"CPU-210091","Millbrook Plaza","Manufacturing/Industrial","Modified Fire-Resistive","4","Yes","19","$100M+","Significant","Moderate","Zone A - Moderate","South Central","Renewal","S. Patel","P. Trang","2026-07-10","2026-08-13","","Bound - Pending Issuance","38","30+ days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2026-08-25","85","High","Overdue vs. target issuance date"
"CPU-210092","Crestline Manufacturing","Warehouse & Distribution","Joisted Masonry","6","No","42","$25M-$50M","Notable","Low","Zone A - Moderate","Northeast","Renewal","J. Alvarez","P. Trang","2026-07-13","2026-08-01","2026-08-03","Issued","21","16-30 days","None","None","None - closed","2026-09-01","0","N/A","Closed"
"CPU-210093","Grandview Metal Works","Manufacturing/Industrial","Frame","6","Yes","64","$1M-$5M","Standard","Low","Zone X - Minimal","Northeast","New Business","T. Novak","A. Lindqvist","2026-07-29","2026-09-03","","Issuance In Progress","19","16-30 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2027-07-29","57","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
"CPU-210094","Amber Valley Freight Terminal","Office","Non-Combustible","8","Yes","17","$5M-$10M","Standard","Low","Zone X - Minimal","West","Renewal","L. Marquez","N. Osei","2026-08-01","2026-08-26","","Bound - Pending Issuance","16","16-30 days","Payment / down payment pending","Client","Follow up on down payment to release policy","2026-10-02","50","Medium","Aged 16-30 days outstanding"
"CPU-210095","Foxridge Plaza","Habitational (Multifamily)","Frame","4","Yes","22","$25M-$50M","Notable","Low","Zone X - Minimal","Southeast","Renewal","D. Whitfield","C. Feldman","2026-07-19","2026-08-22","","Submitted - Awaiting Review","29","16-30 days","Broker confirmation of sprinkler/protective safeguards","Broker/Agent","Confirm protective safeguards with broker before binding","2026-09-15","69","High","Target issuance date due within 5 days"
"CPU-210096","Foxridge Self Storage","Habitational (Multifamily)","Frame","3","Yes","13","$50M-$100M","Significant","Moderate","Zone X - Minimal","Southeast","Renewal","R. Okafor","B. Ruiz","2026-07-25","2026-08-31","","Issuance In Progress","23","16-30 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-10-11","42","Medium","Aged 16-30 days outstanding"
"CPU-210097","Amber Valley Properties","Retail/Mercantile","Masonry Non-Combustible","9","No","4","$1M-$5M","Standard","Moderate","Zone X - Minimal","South Central","Endorsement","T. Novak","B. Ruiz","2026-08-06","2026-09-17","","On Hold - Missing Information","11","11-15 days","Elevation certificate needed (flood zone)","Broker/Agent","Request elevation certificate from insured/broker","2027-08-06","50","Medium","Hard blocker: Elevation certificate needed (flood zone)"
"CPU-210098","Northgate Fabrication","Warehouse & Distribution","Frame","1","Yes","34","$50M-$100M","Significant","Low","Zone X - Minimal","Midwest","Renewal","L. Marquez","B. Ruiz","2026-08-15","2026-09-12","2026-08-16","Cancelled/Declined","1","0-5 days","None","None","None - closed","2026-08-11","0","N/A","Closed"
"CPU-210099","Grandview Hospitality Group","Manufacturing/Industrial","Joisted Masonry","4","No","58","$1M-$5M","Standard","Moderate","Zone X - Minimal","West","New Business","J. Alvarez","H. Buckley","2026-07-25","2026-08-13","","On Hold - Missing Information","23","16-30 days","Wind mitigation report pending","Broker/Agent","Request wind mitigation inspection report for credit eligibility","2027-07-25","87","High","Overdue vs. target issuance date"
"CPU-210100","Union Grove Storage Solutions","Retail/Mercantile","Non-Combustible","4","No","76","$5M-$10M","Standard","Moderate","Zone AE - High-Risk","West","Renewal","K. Sorensen","P. Trang","2026-08-06","2026-09-15","","Bound - Pending Issuance","11","11-15 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2026-08-15","23","Low","Routine - no single dominant factor"
"CPU-210101","Lakeshore Retail Center","Restaurant/Hospitality","Joisted Masonry","2","Yes","8","$1M-$5M","Standard","Low","Zone X - Minimal","West","Renewal","J. Alvarez","P. Trang","2026-07-28","2026-09-05","2026-08-16","Issued","19","16-30 days","None","None","None - closed","2026-08-11","0","N/A","Closed"
"CPU-210102","Cascade Apartments","Retail/Mercantile","Modified Fire-Resistive","5","No","3","$25M-$50M","Notable","Low","Zone X - Minimal","Midwest","Renewal","L. Marquez","N. Osei","2026-08-11","2026-09-17","2026-08-16","Issued","5","0-5 days","None","None","None - closed","2026-10-11","0","N/A","Closed"
"CPU-210103","Meridian Apartments","Office","Masonry Non-Combustible","7","Yes","38","$1M-$5M","Standard","High","Zone AE - High-Risk","South Central","Renewal","D. Whitfield","N. Osei","2026-07-22","2026-08-08","","Submitted - Awaiting Review","26","16-30 days","Elevation certificate needed (flood zone)","Broker/Agent","Request elevation certificate from insured/broker","2026-09-22","87","High","Overdue vs. target issuance date"
"CPU-210104","Millbrook Self Storage","Manufacturing/Industrial","Fire-Resistive","2","Yes","10","$1M-$5M","Standard","Low","Zone X - Minimal","Southeast","Renewal","M. Chen","B. Ruiz","2026-07-11","2026-08-01","","On Hold - Missing Information","37","30+ days","Signed application pending","Broker/Agent","Follow up with broker for signed application","2026-09-17","85","High","Overdue vs. target issuance date"
"CPU-210105","Grandview Plaza","Retail/Mercantile","Joisted Masonry","5","Partial","42","$50M-$100M","Significant","Low","Zone X - Minimal","Midwest","Renewal","D. Whitfield","N. Osei","2026-07-14","2026-08-03","2026-08-08","Issued","25","16-30 days","None","None","None - closed","2026-09-09","0","N/A","Closed"
"CPU-210106","Cedarpoint Hospitality Group","Manufacturing/Industrial","Modified Fire-Resistive","6","Yes","51","$50M-$100M","Significant","Moderate","Zone AE - High-Risk","Midwest","New Business","J. Alvarez","C. Feldman","2026-07-17","2026-08-27","","Bound - Pending Issuance","31","30+ days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-07-17","50","Medium","Aged 30+ days outstanding"
"CPU-210107","Oakhollow Plastics Inc.","Self-Storage","Modified Fire-Resistive","3","Yes","64","$10M-$25M","Standard","Low","Zone A - Moderate","Northeast","Renewal","M. Chen","B. Ruiz","2026-07-23","2026-08-17","","Quoted - Awaiting Response","25","16-30 days","None","Broker/Agent","Follow up with broker on quote decision","2026-08-13","54","Medium","Target issuance date due within 5 days"
"CPU-210108","Harborview Freight Terminal","Restaurant/Hospitality","Frame","3","Yes","49","$10M-$25M","Standard","High","Zone A - Moderate","Northeast","Endorsement","D. Whitfield","P. Trang","2026-08-10","2026-09-03","","Submitted - Awaiting Review","7","6-10 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2027-08-10","43","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
"CPU-210109","Prairie Bend Cold Storage","Restaurant/Hospitality","Non-Combustible","10","Yes","42","$25M-$50M","Notable","High","Zone AE - High-Risk","South Central","Renewal","L. Marquez","A. Lindqvist","2026-08-10","2026-09-14","","Issuance In Progress","7","6-10 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-08-25","16","Low","Routine - no single dominant factor"
"CPU-210110","Summit Fabrication","Self-Storage","Non-Combustible","4","Yes","21","$25M-$50M","Notable","Moderate","Zone X - Minimal","Southeast","New Business","M. Chen","N. Osei","2026-08-16","2026-09-17","","Quoted - Awaiting Response","1","0-5 days","None","Broker/Agent","Follow up with broker on quote decision","2027-08-16","10","Low","Routine - no single dominant factor"
"CPU-210111","Prairie Bend Business Park","Warehouse & Distribution","Masonry Non-Combustible","4","Yes","48","$1M-$5M","Standard","Low","Zone X - Minimal","West","Renewal","T. Novak","N. Osei","2026-08-08","2026-08-25","","Quoted - Awaiting Response","9","6-10 days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2026-08-29","45","Medium","Target issuance date approaching"
"CPU-210112","Crestline Industries","Warehouse & Distribution","Joisted Masonry","3","Yes","70","$10M-$25M","Standard","High","Zone X - Minimal","West","Renewal","D. Whitfield","H. Buckley","2026-07-09","2026-08-11","","Issuance In Progress","39","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-30","68","High","Overdue vs. target issuance date"
"CPU-210113","Ironwood Fabrication","Office","Masonry Non-Combustible","7","Yes","16","$25M-$50M","Notable","Low","Zone X - Minimal","West","Renewal","L. Marquez","A. Lindqvist","2026-07-23","2026-09-03","","Issuance In Progress","25","16-30 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-13","30","Low","Aged 16-30 days outstanding"
"CPU-210114","Ironwood Freight Terminal","Warehouse & Distribution","Non-Combustible","6","Partial","80","$10M-$25M","Standard","Low","Zone X - Minimal","West","Renewal","M. Chen","A. Lindqvist","2026-07-25","2026-08-09","2026-08-11","Issued","17","16-30 days","None","None","None - closed","2026-10-10","0","N/A","Closed"
"CPU-210115","Ironwood Retail Center","Warehouse & Distribution","Non-Combustible","5","No","48","$10M-$25M","Standard","Moderate","Zone VE - Coastal High-Risk","West","New Business","D. Whitfield","H. Buckley","2026-08-13","2026-09-19","","Issuance In Progress","4","0-5 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-08-13","8","Low","Routine - no single dominant factor"
"CPU-210116","Crestline Plaza","Office","Joisted Masonry","3","No","7","$100M+","Significant","Moderate","Zone X - Minimal","Southeast","New Business","R. Okafor","N. Osei","2026-08-14","2026-09-27","","Issuance In Progress","3","0-5 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-08-14","8","Low","Routine - no single dominant factor"
"CPU-210117","Silver Creek Logistics Center","Restaurant/Hospitality","Frame","10","Partial","36","$5M-$10M","Standard","Moderate","Zone VE - Coastal High-Risk","South Central","Renewal","S. Patel","C. Feldman","2026-07-21","2026-08-18","2026-08-16","Issued","26","16-30 days","None","None","None - closed","2026-10-03","0","N/A","Closed"
"CPU-210118","Redwood Plaza","Warehouse & Distribution","Joisted Masonry","1","Yes","8","$5M-$10M","Standard","High","Zone AE - High-Risk","South Central","Renewal","K. Sorensen","B. Ruiz","2026-07-14","2026-08-08","2026-08-15","Issued","32","30+ days","None","None","None - closed","2026-08-10","0","N/A","Closed"
"CPU-210119","Silver Creek Cold Storage","Restaurant/Hospitality","Non-Combustible","3","Yes","42","$1M-$5M","Standard","Low","Zone X - Minimal","South Central","Renewal","J. Alvarez","B. Ruiz","2026-07-22","2026-08-12","2026-08-12","Cancelled/Declined","21","16-30 days","None","None","None - closed","2026-09-21","0","N/A","Closed"
"CPU-210120","Silver Creek Retail Center","Retail/Mercantile","Joisted Masonry","7","Yes","53","$5M-$10M","Standard","Low","Zone X - Minimal","West","New Business","K. Sorensen","C. Feldman","2026-07-16","2026-08-07","","Issuance In Progress","32","30+ days","Payment / down payment pending","Client","Follow up on down payment to release policy","2027-07-16","76","High","Overdue vs. target issuance date"
"CPU-210121","Lakeshore Distribution Group","Habitational (Multifamily)","Non-Combustible","3","No","43","$5M-$10M","Standard","Low","Zone AE - High-Risk","Northeast","New Business","K. Sorensen","C. Feldman","2026-08-06","2026-08-30","","In Underwriting Review","11","11-15 days","None","Underwriter","Complete risk assessment and pricing","2027-08-06","42","Medium","Target issuance date approaching"
"CPU-210122","Oakhollow Self Storage","Self-Storage","Joisted Masonry","6","No","18","$1M-$5M","Standard","Low","Zone X - Minimal","Midwest","Endorsement","J. Alvarez","H. Buckley","2026-07-11","2026-08-17","2026-08-16","Cancelled/Declined","36","30+ days","None","None","None - closed","2027-07-11","0","N/A","Closed"
"CPU-210123","Amber Valley Packaging Co.","Habitational (Multifamily)","Modified Fire-Resistive","3","Yes","74","$1M-$5M","Standard","Low","Zone X - Minimal","Midwest","New Business","J. Alvarez","N. Osei","2026-08-08","2026-09-05","","Issuance In Progress","9","6-10 days","Payment / down payment pending","Client","Follow up on down payment to release policy","2027-08-08","24","Low","Routine - no single dominant factor"
"CPU-210124","Lakeshore Retail Center","Warehouse & Distribution","Frame","4","Yes","34","$1M-$5M","Standard","Low","Zone X - Minimal","West","Renewal","S. Patel","P. Trang","2026-07-04","2026-07-20","2026-07-25","Issued","21","16-30 days","None","None","None - closed","2026-09-04","0","N/A","Closed"
"CPU-210125","Stonebridge Logistics Center","Office","Frame","4","Yes","59","$25M-$50M","Notable","Low","Zone X - Minimal","Northeast","Renewal","K. Sorensen","A. Lindqvist","2026-07-15","2026-08-18","","Issuance In Progress","33","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-13","60","Medium","Target issuance date due within 5 days"
"CPU-210126","Copperfield Retail Center","Self-Storage","Joisted Masonry","4","No","43","$25M-$50M","Notable","Low","Zone A - Moderate","Northeast","New Business","T. Novak","B. Ruiz","2026-08-10","2026-09-17","2026-08-16","Issued","6","6-10 days","None","None","None - closed","2027-08-10","0","N/A","Closed"
"CPU-210127","Cedarpoint Manufacturing","Manufacturing/Industrial","Joisted Masonry","3","Yes","80","$100M+","Significant","Low","Zone X - Minimal","Southeast","Renewal","S. Patel","N. Osei","2026-07-29","2026-08-28","","Issuance In Progress","19","16-30 days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2026-10-04","59","Medium","Aged 16-30 days outstanding"
"CPU-210128","Cascade Fabrication","Manufacturing/Industrial","Frame","6","Yes","51","$25M-$50M","Notable","Low","Zone X - Minimal","Midwest","Renewal","M. Chen","B. Ruiz","2026-07-11","2026-08-14","","Submitted - Awaiting Review","37","30+ days","None","Underwriter","Assign for initial underwriting review","2026-09-19","75","High","Overdue vs. target issuance date"
"CPU-210129","Amber Valley Fabrication","Manufacturing/Industrial","Non-Combustible","3","Yes","47","$1M-$5M","Standard","Moderate","Zone X - Minimal","Midwest","Renewal","M. Chen","A. Lindqvist","2026-07-27","2026-08-12","","In Underwriting Review","21","16-30 days","Statement of Values (SOV) incomplete","Broker/Agent","Request updated Statement of Values from broker","2026-09-21","87","High","Overdue vs. target issuance date"
"CPU-210130","Union Grove Apartments","Warehouse & Distribution","Joisted Masonry","1","Partial","18","$1M-$5M","Standard","Moderate","Zone X - Minimal","South Central","Renewal","S. Patel","H. Buckley","2026-07-20","2026-08-03","","Quoted - Awaiting Response","28","16-30 days","None","Broker/Agent","Follow up with broker on quote decision","2026-10-13","62","Medium","Overdue vs. target issuance date"
"CPU-210131","Silver Creek Properties","Manufacturing/Industrial","Non-Combustible","6","Partial","45","$1M-$5M","Standard","Moderate","Zone A - Moderate","Southeast","Renewal","K. Sorensen","B. Ruiz","2026-07-28","2026-09-02","","In Underwriting Review","20","16-30 days","None","Underwriter","Complete risk assessment and pricing","2026-10-09","37","Medium","Aged 16-30 days outstanding"
"CPU-210132","Summit Logistics Center","Self-Storage","Modified Fire-Resistive","3","No","7","$50M-$100M","Significant","Low","Zone X - Minimal","West","New Business","J. Alvarez","N. Osei","2026-07-15","2026-08-18","","Bound - Pending Issuance","33","30+ days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-07-15","60","Medium","Target issuance date due within 5 days"
"CPU-210133","Cascade Plastics Inc.","Warehouse & Distribution","Frame","3","Yes","16","$10M-$25M","Standard","Low","Zone A - Moderate","West","Renewal","J. Alvarez","A. Lindqvist","2026-08-11","2026-09-14","2026-08-16","Issued","5","0-5 days","None","None","None - closed","2026-09-28","0","N/A","Closed"
"CPU-210134","Timberline Distribution Group","Retail/Mercantile","Masonry Non-Combustible","10","Partial","5","$10M-$25M","Standard","Low","Zone X - Minimal","Southeast","Renewal","D. Whitfield","A. Lindqvist","2026-07-17","2026-08-28","2026-08-16","Issued","30","16-30 days","None","None","None - closed","2026-09-13","0","N/A","Closed"
"CPU-210135","Timberline Plastics Inc.","Warehouse & Distribution","Modified Fire-Resistive","10","Yes","7","$100M+","Significant","High","Zone X - Minimal","Southeast","Renewal","D. Whitfield","A. Lindqvist","2026-08-02","2026-09-07","2026-08-16","Issued","14","11-15 days","None","None","None - closed","2026-09-07","0","N/A","Closed"
"CPU-210136","Amber Valley Hospitality Group","Office","Joisted Masonry","7","Yes","36","$1M-$5M","Standard","Low","Zone A - Moderate","Midwest","New Business","T. Novak","A. Lindqvist","2026-07-12","2026-08-16","","In Underwriting Review","36","30+ days","None","Underwriter","Complete risk assessment and pricing","2027-07-12","75","High","Overdue vs. target issuance date"
"CPU-210137","Amber Valley Business Park","Warehouse & Distribution","Masonry Non-Combustible","4","No","60","$10M-$25M","Standard","High","Zone A - Moderate","West","Renewal","L. Marquez","P. Trang","2026-07-05","2026-08-13","","Issuance In Progress","43","30+ days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2026-08-16","95","High","Overdue vs. target issuance date"
"CPU-210138","Meridian Apartments","Self-Storage","Non-Combustible","3","No","34","$1M-$5M","Standard","Low","Zone X - Minimal","South Central","Renewal","K. Sorensen","P. Trang","2026-07-11","2026-08-03","2026-08-08","Cancelled/Declined","28","16-30 days","None","None","None - closed","2026-09-30","0","N/A","Closed"
"CPU-210139","Timberline Cold Storage","Office","Joisted Masonry","10","No","19","$50M-$100M","Significant","Low","Zone X - Minimal","Northeast","Renewal","T. Novak","B. Ruiz","2026-07-09","2026-08-22","","In Underwriting Review","39","30+ days","None","Underwriter","Complete risk assessment and pricing","2026-08-11","67","High","Target issuance date due within 5 days"
"CPU-210140","Amber Valley Retail Center","Self-Storage","Masonry Non-Combustible","6","Yes","12","$25M-$50M","Notable","Low","Zone X - Minimal","West","Renewal","R. Okafor","H. Buckley","2026-07-28","2026-08-17","","In Underwriting Review","20","16-30 days","Broker confirmation of sprinkler/protective safeguards","Broker/Agent","Confirm protective safeguards with broker before binding","2026-09-16","69","High","Target issuance date due within 5 days"
"CPU-210141","Timberline Logistics Center","Habitational (Multifamily)","Masonry Non-Combustible","7","No","48","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","Renewal","K. Sorensen","A. Lindqvist","2026-07-12","2026-08-03","","Issuance In Progress","36","30+ days","Signed application pending","Broker/Agent","Follow up with broker for signed application","2026-08-07","85","High","Overdue vs. target issuance date"
"CPU-210142","Union Grove Logistics Center","Manufacturing/Industrial","Joisted Masonry","9","Yes","33","$1M-$5M","Standard","Moderate","Zone X - Minimal","South Central","New Business","L. Marquez","N. Osei","2026-07-17","2026-08-02","2026-08-05","Issued","19","16-30 days","None","None","None - closed","2027-07-17","0","N/A","Closed"
"CPU-210143","Summit Cold Storage","Manufacturing/Industrial","Modified Fire-Resistive","6","Yes","28","$5M-$10M","Standard","Low","Zone X - Minimal","West","Renewal","M. Chen","C. Feldman","2026-07-11","2026-07-27","","Issuance In Progress","37","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-08-31","68","High","Overdue vs. target issuance date"
"CPU-210144","Crestline Business Park","Warehouse & Distribution","Frame","2","Partial","4","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","Renewal","R. Okafor","N. Osei","2026-08-13","2026-09-25","2026-08-16","Cancelled/Declined","3","0-5 days","None","None","None - closed","2026-09-18","0","N/A","Closed"
"CPU-210145","Meridian Fabrication","Warehouse & Distribution","Frame","8","Yes","42","$50M-$100M","Significant","High","Zone VE - Coastal High-Risk","South Central","Renewal","K. Sorensen","N. Osei","2026-07-12","2026-07-30","2026-08-07","Issued","26","16-30 days","None","None","None - closed","2026-09-02","0","N/A","Closed"
